date	total (last four weeks)	total (last week)	total (last day)	in organizations (last four weeks)	in organizations (last week)	in organizations (last day)	in user accounts (last four weeks)	in user accounts (last week)	in user accounts (last day)
2017-08-01	2560	2040	1469	932	755	540	1628	1285	929
2017-08-02	2567	2045	1542	936	761	602	1631	1284	940
2017-08-03	2579	2048	1441	938	758	508	1641	1290	933
2017-08-04	2587	2057	1507	942	761	509	1645	1296	998
2017-08-05	2596	2068	513	944	771	187	1652	1297	326
2017-08-06	2607	2074	317	949	772	113	1658	1302	204
2017-08-07	2614	2082	1547	955	768	532	1659	1314	1015
2017-08-08	2623	2092	1556	951	778	515	1672	1314	1041
2017-08-09	2634	2104	1570	963	779	532	1671	1325	1038
2017-08-10	2641	2109	1542	964	780	585	1677	1329	957
2017-08-11	2655	2120	526	962	787	188	1693	1333	338
2017-08-12	2665	2117	323	971	784	114	1694	1333	209
2017-08-13	2683	2131	1635	978	790	579	1705	1341	1056
2017-08-14	2690	2143	1535	978	794	543	1712	1349	992
2017-08-15	2700	2150	1590	986	799	549	1714	1351	1041
2017-08-16	2705	2157	1596	985	803	578	1720	1354	1018
2017-08-17	2714	2168	558	985	803	191	1729	1365	367
2017-08-18	2728	2171	321	996	806	121	1732	1365	200
2017-08-19	2742	2178	1652	997	805	613	1745	1373	1039
2017-08-20	2751	2183	1599	1003	811	552	1748	1372	1047
2017-08-21	2764	2195	1656	1009	818	637	1755	1377	1019
2017-08-22	2769	2207	1588	1013	822	603	1756	1385	985
2017-08-23	2776	2211	533	1006	820	191	1770	1391	342
2017-08-24	2795	2213	336	1019	819	116	1776	1394	220
2017-08-25	2795	2228	1694	1016	826	595	1779	1402	1099
2017-08-26	2805	2242	1652	1019	831	619	1786	1411	1033
2017-08-27	2813	2256	1644	1021	838	609	1792	1418	1035
2017-08-28	2824	2253	1614	1026	838	595	1798	1415	1019
2017-08-29	2843	2270	597	1035	842	217	1808	1428	380
2017-08-30	2841	2273	323	1034	844	117	1807	1429	206
2017-08-31	2865	2272	1716	1044	842	615	1821	1430	1101
2017-09-01	2869	2286	1699	1048	846	597	1821	1440	1102
2017-09-02	2880	2300	1746	1051	855	632	1829	1445	1114
2017-09-03	2891	2308	1732	1049	857	624	1842	1451	1108
2017-09-04	2896	2313	614	1052	858	208	1844	1455	406
2017-09-05	2909	2321	363	1060	863	131	1849	1458	232
