date	merged	new
2017-09-25	68	77
2017-09-24	8	10
2017-09-23	3	4
2017-09-22	62	64
2017-09-21	68	77
2017-09-20	66	75
2017-09-19	67	73
2017-09-18	63	67
2017-09-17	6	6
2017-09-16	3	4
2017-09-15	62	68
2017-09-14	71	78
2017-09-13	63	75
2017-09-12	73	81
2017-09-11	68	71
2017-09-10	3	5
2017-09-09	4	5
2017-09-08	60	64
2017-09-07	73	82
2017-09-06	66	71
2017-09-05	61	67
2017-09-04	39	44
2017-09-03	7	7
2017-09-02	6	7
2017-09-01	47	53
2017-08-31	66	73
2017-08-30	67	76
2017-08-29	71	73
2017-08-28	62	67
2017-08-27	5	7
2017-08-26	3	4
2017-08-25	51	54
2017-08-24	64	72
2017-08-23	64	72
2017-08-22	63	69
2017-08-21	57	61
2017-08-20	5	7
2017-08-19	3	3
2017-08-18	57	64
2017-08-17	64	74
2017-08-16	64	74
2017-08-15	61	65
2017-08-14	57	64
2017-08-13	5	6
2017-08-12	3	3
2017-08-11	60	65
2017-08-10	72	77
2017-08-09	54	59
2017-08-08	61	66
2017-08-07	46	54
2017-08-06	4	5
2017-08-05	2	3
2017-08-04	49	55
2017-08-03	66	73
2017-08-02	70	72
2017-08-01	60	70
2017-07-31	54	58
2017-07-30	7	10
2017-07-29	3	4
2017-07-28	52	58
2017-07-27	62	70
2017-07-26	58	59
2017-07-25	57	64
2017-07-24	51	57
2017-07-23	5	5
2017-07-22	2	2
2017-07-21	51	54
2017-07-20	64	69
2017-07-19	61	66
2017-07-18	59	66
2017-07-17	60	63
2017-07-16	5	5
2017-07-15	2	3
2017-07-14	43	53
2017-07-13	57	63
2017-07-12	62	68
2017-07-11	56	60
2017-07-10	51	52
2017-07-09	1	1
2017-07-08
2017-07-07	5	6
2017-07-06	4	6
2017-07-05	3	5
2017-07-04	21	24
2017-07-03	19	22
2017-07-02	7	7
2017-07-01	2	2
2017-06-30	46	48
2017-06-29	68	71
2017-06-28	61	65
2017-06-27	57	70
2017-06-26	46	54
2017-06-25	4	6
2017-06-24	3	4
2017-06-23	38	46
2017-06-22	59	61
2017-06-21	63	69
2017-06-20	65	70
2017-06-19	61	71
2017-06-18	5	6
2017-06-17	4	5
2017-06-16	61	64
2017-06-15	63	70
2017-06-14	63	68
2017-06-13	65	71
2017-06-12	57	64
2017-06-11	5	6
2017-06-10	3	3
2017-06-09	58	65
2017-06-08	58	62
2017-06-07	62	72
2017-06-06	61	67
2017-06-05	54	62
2017-06-04	3	6
2017-06-03	3	3
2017-06-02	51	56
2017-06-01	63	65
2017-05-31	62	71
2017-05-30	42	46
2017-05-29	32	35
2017-05-28	5	5
2017-05-27	11	12
2017-05-26	44	52
2017-05-25	56	61
2017-05-24	57	62
2017-05-23	57	65
2017-05-22	41	44
2017-05-21	7	8
2017-05-20	3	4
2017-05-19	54	58
2017-05-18	62	71
2017-05-17	57	64
2017-05-16	64	70
2017-05-15	51	61
2017-05-14	3	4
2017-05-13	3	3
2017-05-12	45	52
2017-05-11	51	56
2017-05-10	47	56
2017-05-09	57	61
2017-05-08	51	56
2017-05-07	5	6
2017-05-06	2	4
2017-05-05	51	55
2017-05-04	64	67
2017-05-03	56	65
2017-05-02	55	57
2017-05-01	29	33
2017-04-30	3	5
2017-04-29	2	4
2017-04-28	51	58
2017-04-27	63	69
2017-04-26	61	67
2017-04-25	59	67
2017-04-24	57	63
2017-04-23	4	4
2017-04-22	2	3
2017-04-21	56	60
2017-04-20	66	68
2017-04-19	65	70
2017-04-18	58	60
2017-04-17	32	36
2017-04-16	1	2
2017-04-15	4	3
2017-04-14	29	32
2017-04-13	51	60
2017-04-12	59	66
2017-04-11	56	59
2017-04-10	49	58
2017-04-09	6	6
2017-04-08	2	3
2017-04-07	52	57
2017-04-06	66	72
2017-04-05	60	67
2017-04-04	49	59
2017-04-03	39	45
2017-04-02	4	6
2017-04-01	11	13
2017-03-31	53	57
2017-03-30	57	66
2017-03-29	56	65
2017-03-28	56	60
2017-03-27	54	58
2017-03-26	6	8
2017-03-25	2	3
2017-03-24	52	57
2017-03-23	60	67
2017-03-22	63	67
2017-03-21	58	69
2017-03-20	56	59
2017-03-19	8	8
2017-03-18	3	5
2017-03-17	54	60
2017-03-16	57	67
2017-03-15	57	61
2017-03-14	59	64
2017-03-13	53	61
2017-03-12	4	4
2017-03-11	3	4
2017-03-10	53	58
2017-03-09	66	67
2017-03-08	58	68
2017-03-07	59	62
2017-03-06	49	59
2017-03-05	6	8
2017-03-04	4	4
2017-03-03	44	50
2017-03-02	50	59
2017-03-01	50	57
2017-02-28	55	61
2017-02-27	47	53
2017-02-26	5	4
2017-02-25	5	7
2017-02-24	46	50
2017-02-23	63	67
2017-02-22	60	67
2017-02-21	50	59
2017-02-20	28	34
2017-02-19	5	4
2017-02-18	6	7
2017-02-17	48	53
2017-02-16	49	55
2017-02-15	56	64
2017-02-14	52	53
2017-02-13	45	52
2017-02-12	5	7
2017-02-11	3	4
2017-02-10	49	54
2017-02-09	58	61
2017-02-08	57	61
2017-02-07	51	53
2017-02-06	41	46
2017-02-05	4	6
2017-02-04	8	11
2017-02-03	40	45
2017-02-02	39	47
2017-02-01	45	49
2017-01-31	45	49
2017-01-30	39	43
2017-01-29	4	4
2017-01-28	4	4
2017-01-27	37	42
2017-01-26	44	49
2017-01-25	50	52
2017-01-24	49	54
2017-01-23	48	53
2017-01-22	13	13
2017-01-21	4	4
2017-01-20	43	47
2017-01-19	48	54
2017-01-18	49	52
2017-01-17	46	51
2017-01-16	28	34
2017-01-15	3	4
2017-01-14	3	5
2017-01-13	44	46
2017-01-12	50	52
2017-01-11	51	58
2017-01-10	46	51
2017-01-09	40	43
2017-01-08	3	5
2017-01-07	4	5
2017-01-06	36	42
2017-01-05	45	47
2017-01-04	46	51
2017-01-03	36	41
2017-01-02	7	6
2017-01-01	2	3
2016-12-31
2016-12-30	4	6
2016-12-29	14	15
2016-12-28	10	14
2016-12-27	9	9
2016-12-26	2	3
2016-12-25
2016-12-23	14	13
2016-12-22	38	45
2016-12-21	45	48
2016-12-20	42	44
2016-12-19	40	43
2016-12-18	2	3
2016-12-17	5	6
2016-12-16	40	44
2016-12-15	42	43
2016-12-14	52	59
2016-12-13	45	52
2016-12-12	37	42
2016-12-11	3	3
2016-12-10	4	4
2016-12-09	41	44
2016-12-08	50	55
2016-12-07	50	53
2016-12-06	53	55
2016-12-05	45	48
2016-12-04	2	4
2016-12-03	3	3
2016-12-02	38	46
2016-12-01	46	50
2016-11-30	51	52
2016-11-29	40	49
2016-11-28	40	45
2016-11-27	3	4
2016-11-26	2	3
2016-11-25	27	26
2016-11-24	32	38
2016-11-23	41	47
2016-11-22	44	47
2016-11-21	36	41
2016-11-20	2	2
2016-11-19	3	4
2016-11-18	36	41
2016-11-17	39	45
2016-11-16	41	45
2016-11-15	40	46
2016-11-14	43	47
2016-11-13	4	5
2016-11-12	3	4
2016-11-11	38	42
2016-11-10	47	51
2016-11-09	50	51
2016-11-08	48	54
2016-11-07	48	53
2016-11-06	5	5
2016-11-05	3	4
2016-11-04	45	49
2016-11-03	52	57
2016-11-02	50	54
2016-11-01	48	52
2016-10-31	37	42
2016-10-30	4	4
2016-10-29	2	3
2016-10-28	49	48
2016-10-27	53	60
2016-10-26	52	59
2016-10-25	51	56
